resort_name,local_name,country,region,ski_area,type,opening_date_2026_27,opening_date_status,max_elevation_m,piste_km,ticket_price_min,ticket_price_max,currency,price_status,driving_distance_km_from_milan,driving_time_h_from_milan,road_head,freeride_score_0_5,ski_touring_score_0_5,score_notes,webcam_url,comments,sources,confidence
Orelle,,FR,Savoie,3 Vallées,Glacier + non-glacier,2026-11-21,confirmed_2026_27,3230,150,73.5,73.5,EUR,published_2026_27,252,3.03,,3.5,3.0,"Orelle side (Bouchet, Rosael, Peyron) has long north-facing off-piste vallons under the 3230 m Pointe du Bouchet chair; touring in the Maurienne side valleys is modest.",https://orelle.net/station-ski/webcams,"Maurienne-side gateway: gondola from Francoz hamlet (D1006; A43/Frejus route from Italy, no winter pass closure) reaches 2300 m in 13 min; 1093 parking spaces at gondola; 2026/27 Orelle-Val Thorens day 73.50 EUR (19 Dec-2 May), 66.10 EUR early season; 10% discount buying online at ski.orelle.net; type follows shared VT-Orelle area (Peclet glacier); 22 Nov 2025 gondola opening = official season date, not separately confirmed",https://orelle.net/station-ski/domaine-skiable | https://ski.orelle.net/tarifs/ | https://orelle.net/station-ski/forfaits-de-ski | https://www.les3vallees.com/en/live/lifts-and-trails-opening | https://www.valthorens.com/en/ski/forfaits/forfait-journee/ | https://www.skiresort.com/en/ski-resort/les-3-vallees-val-thorens-les-menuires-meribel-courchevel/ | https://orelle.net/station-ski/webcams,medium
Tignes,,FR,Savoie,Tignes–Val d'Isère (Espace Killy),Glacier + non-glacier,2026-11-21,confirmed_2026_27,3456,300,78.0,78.0,EUR,published_2026_27,416,5.25,,4.5,4.5,"Rubric benchmark: Grande Motte/Grande Balme/Toviere off-piste, huge guiding scene and freeride-event history; touring 4.5 with Vanoise classics (Col du Palet, Pointe de la Sana, Grande Motte) and reliable snow.",https://en.tignes.net/webcams,"Grande Motte glacier: winter 22 Nov 2025-3 May 2026, no autumn glacier product before the November opening (summer skiing 20 Jun-19 Jul 2026); 2026/27 public rates 12 Dec 2026-23 Apr 2027: joint pass 78 EUR, Tignes-only 70 EUR, lower avant-premiere rates 21 Nov-11 Dec; link to Val d'Isere from 28 Nov 2026; Col de l'Iseran and Petit-Saint-Bernard closed in winter - access via Bourg-Saint-Maurice; base = Tignes-le-Lac (Grande Motte funicular at Val Claret 1.5 km) Milan route forced via Albertville to avoid closed Petit Saint-Bernard.",https://en.tignes.net/resort-opening-dates | https://travmedia.com/showPRPreview/100114942 | https://public.tignes.net/TIGNES.NET/TARIFS/TARIFS_FORFAITS_HIVER.pdf | https://en.tignes.net/skiing/ski-pass-you-need | https://en.tignes.net/skiing/winter-ski-area | https://www.france-montagnes.com/experiences/dates-douverture-des-domaines-skiables-saison-25-26/ | https://www.skiresort.com/en/ski-resort/tignes-val-disere/ | https://en.tignes.net/webcams,high
Val Thorens,,FR,Savoie,3 Vallées,Glacier + non-glacier,2026-11-21,confirmed_2026_27,3230,150,73.5,73.5,EUR,published_2026_27,392,4.78,,4.0,3.5,"FWT Val Thorens Pro stop (2026), Peclet/Thorens glacier and Lac du Lou off-piste above 3000 m; touring via Cime Caron-Col de Thorens and Vanoise access is snow-sure but of limited variety.",https://www.valthorens.com/en/webcams/,"Opened 22 Nov 2025 with 18 lifts (Grande Premiere); 2026/27 adult day 73.50 EUR from 19 Dec 2026 (66.10 EUR 21 Nov-18 Dec); Belleville valley pass 79 EUR, 3 Vallees 84.20 EUR (2026/27); Peclet glacier lift-served; highest point Pointe du Bouchet 3230 m (skiresort)",https://www.mon-sejour-en-montagne.com/actualites/neige-soleil-et-15-000-skieurs-une-ouverture-reussie-a-val-thorens-pour-la-saison-2025-2026/ | https://www.valthorens.com/en/ski/forfaits/forfait-journee/ | https://ski.orelle.net/tarifs/ | https://www.les3vallees.com/en/live/lifts-and-trails-opening | https://orelle.net/station-ski/domaine-skiable | https://www.skiresort.com/en/ski-resort/les-3-vallees-val-thorens-les-menuires-meribel-courchevel/ | https://www.valthorens.com/en/webcams/,high
Les 7 Laux,,FR,Isère,Les 7 Laux,Non-glacier,2026-11-26,estimated_from_2025_26,2400,120,45.0,45.0,EUR,published_2026_27,365,4.33,,3.5,3.5,"Marked but ungroomed 'Freeski' itineraries (Vallons du Pra, Combe de Bedina couloirs) and self-described largest freeride area around Grenoble; Belledonne touring (Refuge de la Pra, marked ascent route Les Fanges) with many documented day tours but modest altitude.",https://www.les7laux.com/hiver/ski-alpin-nordique-autres-glisses/ski/webcams/,"Dynamic pricing online (0-10% off day and 4-hour passes); 2026/27 grid: high season (weekends, holidays, school breaks) adult day 45, low season Mon-Fri 42; base = Prapoutel (Gresivaudan side), Le Pleynet (Haut-Breda via Allevard) is an alternative base; 2025/26: 2 lifts at Pipay from 27 Nov 2025 then weekend openings, full season from 20 Dec 2025; top elevation from skiresort (official site gives no figure); official 26/27 dates not yet online. Aggregator/press lists a provisional 2026/27 opening of 2026-12-19, not confirmed by the operator; date shown is the 2025/26 opening shifted.",https://www.skipass.com/news/ouverture-des-7-laux-jeudi-27-novembre.html | https://www.les7laux.com/hiver/ski-alpin-nordique-autres-glisses/ski/forfaits-tarifs/ | https://www.les7laux.com/hiver/ski-alpin-nordique-autres-glisses/glisse/ski-freeride/ | https://www.les7laux.com/hiver/ | https://www.parcsetloisirs.fr/actualite/saison-de-ski-2026-2027-les-dates-douverture-de-toutes-les-stations-des-alpes-departement-par-departement | https://www.skiresort.com/en/ski-resort/les-7-laux-prapoutel-le-pleynet-pipay/,medium
Chamonix,,FR,Haute-Savoie,"Chamonix Mont-Blanc (Brévent-Flégère, Grands Montets, Balme, Aiguille du Midi)",Glacier + non-glacier,2026-11-28,estimated_from_2025_26,3842,110,74.0,74.0,EUR,estimated_from_2025_26,243,3.09,,5.0,5.0,"Former FWT venue; Vallée Blanche, Grands Montets and Brévent couloirs; Haute Route start with Compagnie des Guides/ENSA make it a world touring hub.",https://www.chamonix.com/webcams,"Via Mont Blanc tunnel (no extended closure in 2026, only autumn night closures); Col des Montets may close for avalanche risk. Aiguille du Midi 3842 m = lift-served glacier off-piste (Vallée Blanche, Mont Blanc Unlimited pass), cable car closed 2 Nov-18 Dec 2026; marked pistes top out at 2765 m (Bochard) while Grands Montets summit 3275 m stays closed until Dec 2027 (new Argentière-Lognan gondola due summer 2026, Plan Joran gondola reopens 5 Dec 2026). 2025/26 opened 29 Nov (Grands Montets Plan Joran/Bochard/Tabé + Flégère), Brévent and Balme 13 Dec, Les Houches 6 Dec. Dynamic online pricing from 47 EUR off-peak; 74 EUR = peak ticket-office price 20 Dec-27 Mar; Mont Blanc Unlimited 1 day 100 EUR. skiresort.com sums valley areas incl. Les Houches to about 169 km. Aggregator/press lists a provisional 2026/27 opening of 2026-11-28, not confirmed by the operator; date shown is the 2025/26 opening shifted.",https://domaineschamonix.montblancnaturalresort.com/en/ticketing/chamonix-lepass | https://domaineschamonix.montblancnaturalresort.com/en/area/grands-montets | https://www.actumontagne.com/sports/ski/chamonix-les-grands-montets-et-la-flegere-ouvrent-des-ce-samedi-29-novembre/ | https://www.mon-sejour-en-montagne.com/actualites/forfaits-de-ski-a-chamonix-on-connait-deja-les-prix-pour-la-saison-2025-2026/ | https://sallanches.info/actualites/calendrier-ouverture-telepherique-grands-montets-chamonix-2026/ | https://www.chamonix.com/informations-remontees-mecaniques-en-temps-reel | https://www.alti-mag.com/dates-douverture-stations-ski | https://www.skiresort.com/en/ski-resort/aiguille-du-midi-chamonix/ | https://www.skiresort.com/en/ski-resort/grands-montets-argentiere-chamonix/ | https://nosalpes.eu/fr/2026/08/31/cette-annee-aucune-fermeture-prolongee-pour-le-tunnel-du-mont-blanc/,medium
Chamrousse,,FR,Isère,Chamrousse,Non-glacier,2026-11-28,estimated_from_2025_26,2250,90,43.5,43.5,EUR,estimated_from_2025_26,398,4.77,,3.0,3.0,"Mainly on-piste Grenoble day-trip resort with limited off-piste (Casserousse, Lacs Robert sector); very popular local Belledonne touring with marked ascent routes but little variety or altitude.",https://www.chamrousse.com/webcams.html,"2025/26: pre-opening weekend 29-30 Nov 2025 then continuous opening 6 Dec 2025-12 Apr 2026 (official); official 26/27 dates not yet online, skiresort shows 28 Nov 2026 while Parcs & Loisirs gives 5 Dec 2026; base = Recoin 1650/1750 (Croix de Chamrousse gondola); day-pass discount for online purchase; 2026/27 day price not yet published (ticketing SPA). Aggregator/press lists a provisional 2026/27 opening of 2026-12-05, not confirmed by the operator; date shown is the 2025/26 opening shifted.",https://www.franceinfo.fr/economie/tourisme/chamrousse-en-isere-ouverture-anticipee-pour-la-station-de-ski_7643129.html | https://www.chamrousse.com/ouverture-alpin-piste-remontee.html | https://www.chamrousse.com/remontees-mecaniques.html | https://ski.chamrousse.com/ | https://www.skiresort.com/en/ski-resort/chamrousse/ | https://www.parcsetloisirs.fr/actualite/saison-de-ski-2026-2027-les-dates-douverture-de-toutes-les-stations-des-alpes-departement-par-departement,medium
La Clusaz,,FR,Haute-Savoie,La Clusaz–Manigod,Non-glacier,2026-11-28,estimated_from_2025_26,2485,125,49.9,56.5,EUR,estimated_from_2025_26,317,4.13,,4.0,4.0,"Balme sector hosted FWQ freeride events; Combe de Borderan/Fernuy off-piste; Aravis touring classics (Pointe Percée, Trou de la Mouche, Combe des Aravis).",https://www.laclusaz.com/webcams/,"Base = Bossonnet lift and car park in the village. From Italy via Mont Blanc tunnel-Sallanches-Col des Aravis (normally kept open, may close in heavy snow) or A41 Annecy. Dynamic pricing: Prem's online 29.90-49.90 EUR (49.90 = max, bought 2+ days ahead) vs 56.50 EUR window price (2025/26 tariff still displayed; 2026/27 not yet online). 2025/26 pre-openings 29-30 Nov (Balme) and 6-7 Dec; continuous 13 Dec 2025-26 Apr 2026. Elevation: skiresort.com 2485 m; official/aggregators quote 2500-2600 m. Manigod on same pass.",https://forfait.laclusaz.com/fr/tarifs-forfait-la-clusaz | https://www.bergfex.com/la-clusaz/ | https://www.visiter-laclusaz.com/activite/44-remontees-mecaniques-hiver | https://www.skiinfo.fr/alpes-du-nord/la-clusaz/station-de-ski | https://www.skiresort.com/en/ski-resort/la-clusaz-manigod/ | https://www.laclusaz.com/,medium
Les 2 Alpes,,FR,Isère,Les 2 Alpes,Glacier + non-glacier,2026-11-28,confirmed_2026_27,3600,220,68.0,68.0,EUR,published_2026_27,309,4.28,,4.0,4.0,"Strong lift-served off-piste (Vallons de la Selle, Vallons du Diable, Chalance, Dome de la Lauze descent towards La Grave with a guide) and a big guide scene; the brief's rubric names Les 2 Alpes as a 4.0 touring example (Ecrins access, Vallon de la Selle, Pied Moutet).",https://www.les2alpes.com/hiver/live/webcams/,"No autumn glacier opening since 2023, winter now starts late November; 2025/26 planned opening 29 Nov 2025 not independently confirmed as operated; official 'Hiver 2027' skipass page lists SKIPASS JOURNEE adult 68.00 (skiresort shows 66 for 2025/26); official top 3600 m is a marketing figure, skiresort gives 3523 m; family/tribe passes use period tiers (avant saison, saison 19 Dec-9 Apr, fin de saison); Supernova pass adds Alpe d'Huez and La Grave; glacier skiing continues to early July.",https://www.les2alpes.com/hiver/ | https://www.les2alpes.com/hiver/skier-aux-2-alpes/domaine-skiable/ | https://www.les2alpes.com/hiver/skier-aux-2-alpes/preparer-sa-journee-de-ski/acheter-mon-ski-pass/ | https://www.france-montagnes.com/experiences/dates-douverture-des-domaines-skiables-saison-25-26/ | https://passion2alpes.com/infos/dates | https://www.alti-mag.com/alti-actus/ou-skier-cet-automne | https://www.skiresort.com/en/ski-resort/les-2-alpes/,medium
Montgenèvre,,FR,Hautes-Alpes,Via Lattea (Vialattea) – Montgenèvre sector,Non-glacier,2026-11-28,confirmed_2026_27,2648,95,56.0,56.0,EUR,published_2026_27,236,3.00,,3.5,3.5,"Good but less-known off-piste (Gondrans bowls, Rocher de l'Aigle, Chalvet north side) inside the 400 km Vialattea; solid local touring (Chaberton, Gondrans) with the renowned Claree valley (Nevache) 20 min away.",https://montgenevre.com/hiver/en-direct/webcams-montgenevre,"2026/27 peak price 19 Dec 2026-11 Apr 2027 (shoulder 45.50); Montgenèvre + Monts de la Lune pass 58.50; Voie Lactee international pass valid 19 Dec 2026-11 Apr 2027; 2025/26 day pass was 52 EUR; resort sits on Col de Montgenevre (N94/SS24), open all year from Italy; local top lift point 2648 m (Via Lattea max 2823 m).",https://montgenevre.com/ | https://skipass.montgenevre.com/fr/tarifs-guichet | https://www.envie-de-brianconnais.com/agenda/ouverture-station-montgenevre-hiver-2026-2027/ | https://france3-regions.franceinfo.fr/provence-alpes-cote-d-azur/alpes-maritimes/carte-saison-d-hiver-2025-2026-voici-toutes-les-dates-d-ouverture-des-stations-de-ski-des-alpes-du-sud-3229196.html | https://www.skiinfo.fr/alpes-du-sud/montgenevre/forfaits-de-ski | https://www.skiresort.com/en/ski-resort/via-lattea-sestriere-sauze-doulx-san-sicario-claviere-montgenevre/,high
Val d'Isère,,FR,Savoie,Tignes–Val d'Isère (Espace Killy),Glacier + non-glacier,2026-11-28,confirmed_2026_27,3456,300,78.0,78.0,EUR,published_2026_27,418,5.35,,5.0,4.5,"Rubric benchmark 5.0: world-famous off-piste (Tour du Charvet, Banane, Col Pers, Fornet/Pissaillas), deep guiding scene and FWT/FWQ history; touring 4.5 with Vanoise high-alpine classics.",https://www.valdisere.com/live/webcams/,"Pissaillas glacier lift-served (Le Fornet); Val d'Isere side reaches 'over 3400 m', 3456 m is the Grande Motte top of the shared area; joint-pass price from Tignes 2026/27 public-rates PDF (Val d'Isere shop is interactive; a Val d'Isere-only pass exists, price not extracted; skiinfo shows 75 EUR joint pass 2025/26); Col de l'Iseran closed in winter Milan route forced via Albertville to avoid closed Iseran, Mont Cenis.",https://www.valdisere.com/en/ | https://www.france-montagnes.com/experiences/dates-douverture-des-domaines-skiables-saison-25-26/ | https://www.valdisere.com/en/val-disere-in-winter/skiing-winter-fun/ski-area-french-alps/ | https://public.tignes.net/TIGNES.NET/TARIFS/TARIFS_FORFAITS_HIVER.pdf | https://www.valdisere.ski/en/skipass-prices | https://www.skiinfo.fr/tignes-val-disere/forfaits-de-ski | https://www.skiresort.com/en/ski-resort/tignes-val-disere/ | https://www.valdisere.com/live/webcams/,medium
