id,resort_name,local_name,country,region,ski_area,type,opening_2025_26_actual,opening_2026_27_published,opening_source_note,max_elevation_m,piste_km,piste_km_basis,ticket_price_min,ticket_price_max,currency,price_status,road_head,base_lat,base_lon,freeride_score_0_5,ski_touring_score_0_5,score_notes,webcam_url,webcam_http_status,comments,sources,confidence
151,Saalbach-Hinterglemm,,AT,Salzburg,Skicircus Saalbach Hinterglemm Leogang Fieberbrunn,Non-glacier,2025-11-28,2026-11-27,official 2026/27 season-dates page; 28 Nov 2025 opening confirmed in alpinforum reports,2096,270,Skicircus SHLF; Ski ALPIN CARD is the only day ticket,82,82,EUR,published_2026_27,,47.39047,12.63479,4.0,3.0,Marked freeride routes and Freeride Park on Schattberg/Zwoelferkogel and lift link to FWT venue Fieberbrunn justify 4.0; Glemmtal touring is gentle grass-mountain terrain with limited high-alpine variety.,https://www.saalbach.com/en/live-info/livecams,200,"Peak 19.12.2026-12.03.2027 at 82 EUR fixed (Ski ALPIN CARD, also valid Schmittenhoehe and Kitzsteinhorn = 408 km network, areas not lift-linked); winter start 27.11-18.12.2026 at 74 EUR. 2025/26 opened 28 Nov 2025 with limited lifts (Schoenleiten, Asitz), all connections from 5 Dec 2025. From Italy via Brenner/Pass Thurn - no winter pass closure.",https://www.saalbach.com/en/winter/skitickets/skitickets-shlf | https://www.saalbach.com/en/winter/skitickets/winter-start | https://www.saalfelden-leogang.com/peak-season | https://www.saalfelden-leogang.com/en/service-info/press/planned-start-of-the-ski-season-november-28-2025_presse_9080802 | https://www.alpinforum.com/forum/viewtopic.php?t=71418 | https://www.saalbach.com/en/winter/ski-resort | https://www.skiresort.com/en/ski-resort/saalbach-hinterglemm-leogang-fieberbrunn-skicircus/,high
152,Leogang,,AT,Salzburg,Skicircus Saalbach Hinterglemm Leogang Fieberbrunn,Non-glacier,2025-11-28,2026-11-27,official 2026/27 season-dates page; Asitzbahn opening 28 Nov 2025 confirmed in alpinforum,2096,270,Skicircus SHLF; Ski ALPIN CARD is the only day ticket,82,82,EUR,published_2026_27,,47.43925,12.71883,3.5,3.0,"Asitz/Steinberg side has moderate off-piste and belongs to the Skicircus with FWT venue Fieberbrunn, but is lower and more piste-oriented than Saalbach; Leoganger Steinberge tours are few and steep, limited variety.",https://www.saalfelden-leogang.com/en/news-events/webcams,200,"Same Ski ALPIN CARD pricing as Saalbach: peak 19.12.2026-12.03.2027 at 82 EUR fixed, winter start 74 EUR. Base = Asitzbahn valley station (Leogang-Huetten). 2025/26 opened 28 Nov 2025 (Asitzbahn, Poltenlift), full Skicircus connections 5 Dec 2025. No winter pass closure from Italy (Brenner/Pass Thurn).",https://www.saalfelden-leogang.com/peak-season | https://www.saalfelden-leogang.com/en/service-info/press/planned-start-of-the-ski-season-november-28-2025_presse_9080802 | https://www.saalbach.com/en/winter/skitickets/skitickets-shlf | https://www.alpinforum.com/forum/viewtopic.php?t=71418 | https://www.skiresort.com/en/ski-resort/saalbach-hinterglemm-leogang-fieberbrunn-skicircus/,high
153,Zell am See,,AT,Salzburg,Schmittenhöhe (Zell am See-Kaprun),Non-glacier,2025-11-29,,official announcement of preview weekend 29/30 Nov 2025 (5 lifts); regular start 5 Dec 2025,2000,77,Schmittenhoehe own area; ALPIN CARD day ticket covers 408 km network,82,82,EUR,published_2026_27,,47.3263,12.77236,3.0,3.0,"Schmittenhoehe is a piste-oriented 2,000 m grass mountain with only modest side-country; touring is limited to piste tours and a few Pinzgau day tours, so both scores stay at 3.0.",https://www.schmitten.at/en/Service/Webcams,200,"Day ticket = Ski ALPIN CARD (fixed price, valid Schmitten + Kitzsteinhorn + Skicircus): peak 19.12.2026-12.03.2027 at 82 EUR, winter start/bonus 74 EUR. 2025/26: preview weekend 29-30 Nov 2025 (trassXpress, areitXpress, Glocknerbahn, Hirschkogel, Breiteck) announced officially, regular start 5 Dec 2025 - verify preview ran. Schmitten's own 2026/27 start date not yet published (ALPIN CARD winter-start ticket period begins 27.11.2026). Base = Schmittenhoehebahn valley station (alt. areitXpress Schuettdorf).",https://www.schmitten.at/en/Tickets-Prices/Wintertickets | https://www.schmitten.at/en/Magazine/Start-of-the-2025/26-winter-season-on-the-Schmittenhohe-in-Zell-am-See_bba_6211 | https://www.alpinforum.com/forum/viewtopic.php?p=5495989 | https://www.skiresort.com/en/ski-resort/schmittenhoehe-zell-am-see/,medium
154,Kaprun – Kitzsteinhorn,,AT,Salzburg,Kitzsteinhorn–Maiskogel (Zell am See-Kaprun),Glacier,2025-10-11,2026-10-10,official news Skistart 2025 (11 Oct 2025); official fall-skiing page (10 Oct 2026),3029,63,Kitzsteinhorn + Maiskogel 62.5 km (skiresort.com); ALPIN CARD network 408 km,82,82,EUR,published_2026_27,,47.22936,12.72673,4.0,3.5,"Glacier freeride with marked freeride routes, Freeride Info Base and FWQ contest history supports 4.0; touring is typical Austrian-glacier level (Hohe Tauern day tours from Kaprun/Kitzsteinhorn) at 3.5.",https://www.kitzsteinhorn.at/en/service/information/weather-webcams,200,"Glacier with autumn skiing: 2026/27 autumn from 10 Oct 2026 (autumn day ticket 74-77 EUR), winter start period 27.11-18.12.2026 at 74 EUR, peak 19.12.2026-12.03.2027 at 82 EUR (Ski ALPIN CARD, fixed price). Base = Gletscherjet 1 valley station at Kesselfall (Kesselfallstrasse); alternative entry Kaprun Center/Maiskogelbahn in the village via K-ONNECTION. Approach via Felbertauern tunnel (toll) or Tauern motorway - no winter closure.",https://www.kitzsteinhorn.at/de/service/news-events/news/skistart-2025 | https://www.kitzsteinhorn.at/landing-pages/fall-skiing | https://www.kitzsteinhorn.at/en/winter | https://www.schmitten.at/en/Tickets-Prices/Wintertickets | https://www.ots.at/presseaussendung/OTS_20251007_OTS0013/kitzsteinhorn-startet-in-die-skisaison | https://www.skiresort.com/en/ski-resort/kitzsteinhorn-maiskogel-kaprun/,high
155,Wildkogel (Neukirchen–Bramberg),,AT,Salzburg,Wildkogel-Arena,Non-glacier,2025-12-05,2026-12-05,official press release/media site for 2025/26; official winter opening-times page for 2026/27,2150,75,Wildkogel-Arena day ticket (Neukirchen + Bramberg),72,72,EUR,published_2026_27,,47.25439,12.28077,3.0,3.5,"Family-oriented Kitzbuehel-Alps grass terrain with little committed off-piste; Neukirchen is a decent local touring base (Wildkogel touring routes, Habach/Untersulzbach valleys into the Venediger group) with limited variety.",https://www.wildkogel-arena.at/en/wildkogel-arena/webcams.html,200,"Single day price all winter (no high/low season, no dynamic pricing); 2026/27 season 05.12.2026-08.12.2026 and 11.12.2026-04.04.2027. 2025/26 start 5 Dec 2025 per official pre-season press (actual day not independently confirmed). Elevation/km cross-checked on skiresort.com. From Italy via Felbertauern tunnel (toll) or Gerlos Alpine Road (open in winter, toll).",https://www.wildkogel-arena.at/en/mountain-lifts-wildkogel/opening-times-and-prices-winter.html | https://media.wildkogel-arena.at/de/winter-2025-26-ski.html | https://www.presseportal.de/pm/170196/6144248 | https://www.skiresort.com/en/ski-resort/wildkogel-neukirchen-bramberg/,medium
156,Flachau,,AT,Salzburg,Snow Space Salzburg,Non-glacier,2025-11-29,2026-11-28,"official operating-times page 2025/26 + lift list (Achterjet, Starjet 3 on 29 Nov); official 2026/27 operating-times page",1980,120,Snow Space Salzburg lift-linked core; day ticket = 12 Peaks region 210 km (bus-linked),69,81,EUR,published_2026_27,,47.35343,13.38562,3.0,3.0,"Piste-focused 900-2,000 m grass mountains with only some tree runs and no freeride reputation; touring is limited to piste tours and easy Pongau day tours.",https://www.snow-space.com/de/winter/informationen-skigebiet/live/webcams,200,"Ski amade dynamic pricing: 12 Peaks region main season 19.12.2026-26.03.2027 adult day online 69.00-81.00 EUR, ticket office 81.00 EUR (other Ski amade regions 81.00-81.50); pre/post season 64.50-75.50. One-day Ski amade tickets valid only in the purchased region. 12 Peaks ski connection/winter opening planned 5 Dec 2026. Elevation from skiresort.com. Base = Achterjet valley station. From Italy via Tauern motorway A10 or Brenner - no winter closure.",https://www.snow-space.com/betriebszeiten | http://web.archive.org/web/20251120/https://www.snow-space.com/betriebszeiten | https://www.wagrain24.at/saisonstart-wagrain/ | https://www.skiamade.com/pdf/tarife/tageskartentarife-12-Gipfel-Skiregion-2026-27.pdf | https://www.skiamade.com/en/live-infos/winter-opening-times | https://www.snow-space.com/en/winter/skitickets/one-day-tickets | https://www.snow-space.com/en/winter/ski-resort-salzburg | https://www.skiresort.com/en/ski-resort/snow-space-salzburg-flachau-wagrain-st-johann-alpendorf/,medium
157,Wagrain,,AT,Salzburg,Snow Space Salzburg,Non-glacier,2025-11-29,2026-11-28,"official operating-times page 2025/26 + lift list (Flying Mozart, Grafenbergbahn on 29 Nov); official 2026/27 page",1980,120,Snow Space Salzburg lift-linked core; day ticket = 12 Peaks region 210 km (bus-linked),69,81,EUR,published_2026_27,,47.33411,13.30834,3.0,3.0,Same piste-oriented Snow Space terrain (Griessenkareck/Grafenberg) with little off-piste; touring options are modest local tours (Kleinarl valley) only.,https://www.snow-space.com/de/winter/informationen-skigebiet/live/webcams,200,"Ski amade dynamic pricing (12 Peaks region): main season 19.12.2026-26.03.2027 adult day online 69.00-81.00 EUR, ticket office 81.00 EUR; pre/post season 64.50-75.50. Base = Flying Mozart valley station in Wagrain. 12 Peaks connection/winter opening planned 5 Dec 2026. Elevation from skiresort.com. No winter pass closures from Italy (A10 Tauern motorway).",https://www.snow-space.com/betriebszeiten | https://www.wagrain24.at/saisonstart-wagrain/ | https://www.skiamade.com/pdf/tarife/tageskartentarife-12-Gipfel-Skiregion-2026-27.pdf | https://www.skiamade.com/en/live-infos/winter-opening-times | https://www.snow-space.com/en/winter/skitickets/one-day-tickets | https://www.skiresort.com/en/ski-resort/snow-space-salzburg-flachau-wagrain-st-johann-alpendorf/,medium
158,St. Johann–Alpendorf,,AT,Salzburg,Snow Space Salzburg,Non-glacier,2025-12-05,2026-11-28,official lift-status page (Dec 2025 snapshot): St. Johann/Alpendorf from Fri 5 Dec 2025; official 2026/27 page,1980,120,Snow Space Salzburg lift-linked core; day ticket = 12 Peaks region 210 km (bus-linked),69,81,EUR,published_2026_27,,47.32135,13.19505,3.0,3.0,Alpendorf/Gernkogel side is family and piste oriented with negligible freeride; touring limited to a few easy Pongau tours.,https://www.snow-space.com/de/winter/informationen-skigebiet/live/webcams,200,"Snow Space season opened 29 Nov 2025 in Flachau/Wagrain, but Alpendorf lifts started Fri 5 Dec 2025 (12 Peaks connection 6 Dec 2025). 2026/27 published start 28 Nov 2026 is for Snow Space as a whole; Alpendorf may again open later. Ski amade dynamic pricing (12 Peaks region): main season online 69.00-81.00 EUR, office 81.00 EUR. Base = Alpendorf gondola valley station. Elevation from skiresort.com.",http://web.archive.org/web/20251202/https://www.snow-space.com/offenelifte | https://www.snow-space.com/betriebszeiten | https://www.skiamade.com/pdf/tarife/tageskartentarife-12-Gipfel-Skiregion-2026-27.pdf | https://www.skiamade.com/en/live-infos/winter-opening-times | https://www.snow-space.com/en/winter/skitickets/one-day-tickets | https://www.skiresort.com/en/ski-resort/snow-space-salzburg-flachau-wagrain-st-johann-alpendorf/,medium
159,Hochkönig (Maria Alm–Dienten–Mühlbach),,AT,Salzburg,Hochkönig,Non-glacier,2025-12-05,2026-12-05,official lift-status page: planned start 5 Dec 2025 (all main lifts open by 13 Dec per alpinforum); Ski amade 2026/27 dates,1900,120,"Hochkoenig region day ticket (Maria Alm, Dienten, Muehlbach)",68.9,81,EUR,published_2026_27,,47.38974,12.90895,3.0,3.5,"Family/piste resort at 800-1,900 m with limited off-piste; the Hochkoenig massif offers classic ski tours (Uebergossene Alm/Birgkar, Dienten tours), so touring is a solid 3.5.",https://www.hochkoenig.at/en/winter/ski-area/webcams.html,200,"Ski amade dynamic pricing: main season 19.12.2026-26.03.2027 adult day online 68.90-81.00 EUR, ticket office 81.00 EUR; pre/post 64.50-75.50. 2025/26 first day is the officially planned 5 Dec 2025 (actual not independently confirmed). Ski amade 2026/27: Maria Alm to 4 Apr 2027, Dienten/Muehlbach to 29 Mar 2027. Base = Abergbahn valley station, Maria Alm-Hintermoos. Input skiresort_url pointed to Zillertal Arena; correct page used. No winter pass closures from Italy.",http://web.archive.org/web/20251206/https://www.hochkoenig.at/de/winter/skigebiet/lift-und-pistenstatus.html | https://www.alpinforum.com/forum/viewtopic.php?t=71572 | https://www.skiamade.com/pdf/tarife/Tageskartentarife-Hochkoenig-2026-27.pdf | https://www.skiamade.com/en/live-infos/winter-opening-times | https://www.hochkoenig.at/en/winter/ski-area/webcams.html | https://www.skiresort.com/en/ski-resort/hochkoenig-maria-alm-dienten-muehlbach/,medium
160,Bad Gastein,,AT,Salzburg,Ski amadé – Gastein (Stubnerkogel/Graukogel/Sportgastein),Non-glacier,2025-12-05,2026-11-27,Ski amade Gastein season page (Dec 2025): winter season start 5 Dec 2025; official 2026/27 operating-hours page (partial ops from 27 Nov 2026),2650,168,Gastein day ticket: Stubnerkogel/Schlossalm/Angertal 82.7 + Sportgastein 18.2 + Dorfgastein-Grossarl 67.5 km (skiresort.com),69.5,81.5,EUR,published_2026_27,,47.11065,13.13166,4.0,3.5,"Sportgastein (1,590-2,650 m) is a recognised freeride area with three official freeride routes, Freeride Info Base, Avalanche Training Center and FWQ history, plus steep Graukogel; Gastein offers good Tauern day tours (Schareck, Baukogel, Sportgastein) but is not a major touring hub.",https://www.skigastein.com/en/webcams-in-skigastein/,200,"Ski amade dynamic pricing: main season 19.12.2026-26.03.2027 adult day online 69.50-81.50 EUR, ticket office 81.50 EUR; start/finale 64.50-76.00; pre/post 59.00. Max elevation = Sportgastein Goldbergbahn top (official 2,650 m); Stubnerkogel 2,246 m. Official km: Sportgastein 24 km, Dorfgastein-Grossarl about 70 km (skiresort figures used for consistency). 2026/27: Stubnerkogel/Schlossalm partial from 27 Nov, daily from 11 Dec 2026; Sportgastein daily from 18 Dec 2026; Graukogel operates only Thu-Sun from late Dec. Base = Stubnerkogelbahn valley station. From Italy via Tauern motorway A10 (or Tauernschleuse car train Mallnitz-Boeckstein) - no winter closure.",http://web.archive.org/web/20251215/https://www.skiamade.com/de/skigebiete/gastein/saisonzeiten | https://www.skigastein.com/en/tickets-lifts/operating-hours-lifts/ | https://www.skigastein.com/en/tickets-lifts/winter-tickets/day-tickets/ | https://www.skiamade.com/pdf/tarife/Tageskartentarife-Gastein-2026-27.pdf | https://www.skigastein.com/de/skigebiet/sportgastein | https://www.skigastein.com/de/skigebiet/schlossalm-angertal-stubnerkogel | https://www.skiresort.com/en/ski-resort/bad-gastein-bad-hofgastein-schlossalm-angertal-stubnerkogel/ | https://www.skiresort.com/en/ski-resort/sportgastein/,medium
