id,resort_name,local_name,country,region,ski_area,type,opening_2025_26_actual,opening_2026_27_published,opening_source_note,max_elevation_m,piste_km,piste_km_basis,ticket_price_min,ticket_price_max,currency,price_status,road_head,base_lat,base_lon,freeride_score_0_5,ski_touring_score_0_5,score_notes,webcam_url,webcam_http_status,comments,sources,confidence
191,Grindelwald,,CH,Bern,Jungfrau Ski Region (Grindelwald-Wengen + First),Non-glacier,2025-11-29,2026-11-21,jungfrau.ch 2026/27 pass validity; 2025/26 start per Jungfraubahn statement (plattformj),2500,211,Jungfrau Ski Region pass (only pass sold); Grindelwald-Wengen 101 + First 49 km,83,83,CHF,estimated_from_2025_26,,46.62431,8.01937,3.5,4.5,"No FWT/FWQ history and a piste-oriented region, but real off-piste at First (Baergelegg/Schwarzhorn side) and Eigergletscher-Wixi; touring per rubric example: Jungfraujoch railway gives access to Moench/Jungfrau/Loetschenluecke-Konkordia glacier classics plus Faulhorn/Schwarzhorn day tours, strong guide scene (Grindelwald Sports/Bergsteigerzentrum).",https://www.jungfrau.ch/en-gb/live/webcams/,200,"Fixed prices, no dynamic pricing: 2025/26 day pass CHF 79 regular, CHF 83 high season (20.12.2025-04.01.2026 and 31.01-01.03.2026); 2026/27 pass published as from CHF 79, high-season surcharge not yet published; season 21.11.2026-25.04.2027. 2025/26: planned weekend start Kleine Scheidegg 15.11.2025 snow permitting (not confirmed), continuous operation from 29.11.2025, Maennlichen 13.12, First 20.12.2025. Max elevation 2500 m = First/Oberjoch per skiresort.com (Kleine Scheidegg-Maennlichen sector 2400 m). Base = Grindelwald Terminal (Eiger Express/Maennlichen gondolas, car park). Route from Milan via Simplon or Gotthard-Interlaken, no winter pass closure on route.",https://www.jungfrau.ch/en-gb/jungfrau-ski-region/ | https://schilthorn.ch/cmsfiles/posts/documents/preisliste-jungfrau-ski-region_2025_2026.pdf | https://www.plattformj.ch/artikel/238202/ | https://www.skiresort.com/en/ski-resort/kleine-scheidegg-maennlichen-grindelwald-wengen/ | https://www.skiresort.com/en/snow-reports/seasonstart/jungfrau-region/ | https://www.bergfex.com/jungfrau-grindelwald-wengen/ | https://www.skiinfo.de/berner-oberland/grindelwald-wengen/skipaesse,medium
192,Wengen,,CH,Bern,Jungfrau Ski Region (Grindelwald-Wengen),Non-glacier,2025-11-29,2026-11-21,jungfrau.ch 2026/27 pass validity; 2025/26 start per Jungfraubahn statement (plattformj),2400,211,Jungfrau Ski Region pass (only pass sold); Grindelwald-Wengen sector 101 km,83,83,CHF,estimated_from_2025_26,Lauterbrunnen,46.59828,7.9088,3.0,4.0,"Mainly on-piste intermediate terrain (Lauberhorn/Maennlichen), limited off-piste around Wixi-Fallboden and Eigergletscher, no freeride event history; touring benefits from the Jungfraujoch railway (Moench, Loetschenluecke, Konkordia) and Lauterbrunnen-valley tours but the guide scene sits in Grindelwald/Lauterbrunnen.",https://www.jungfrau.ch/en-gb/live/webcams/,200,"Car-free village: road head Lauterbrunnen (multi-storey car park at the station, then WAB rack railway to Wengen). Same Jungfrau Ski Region pass and fixed prices as Grindelwald (CHF 79 regular / 83 high season 2025/26; 2026/27 from CHF 79). Max elevation 2400 m per skiresort.com, not confirmed on official site. Season 2026/27 21.11.2026-25.04.2027.",https://www.jungfrau.ch/en-gb/jungfrau-ski-region/ | https://schilthorn.ch/cmsfiles/posts/documents/preisliste-jungfrau-ski-region_2025_2026.pdf | https://www.plattformj.ch/artikel/238202/ | https://www.skiresort.com/en/ski-resort/kleine-scheidegg-maennlichen-grindelwald-wengen/ | https://www.skiresort.com/en/snow-reports/seasonstart/jungfrau-region/,medium
193,Mürren – Schilthorn,,CH,Bern,Jungfrau Ski Region (Mürren-Schilthorn),Non-glacier,2025-11-01,2026-11-07,2025/26 plattformj 29.10.2025 + official price list; 2026/27 skiresort.com season entry,2970,211,Jungfrau Ski Region pass (only pass sold); Mürren-Schilthorn sector 54 km,83,83,CHF,estimated_from_2025_26,Stechelberg,46.55545,7.90141,4.0,4.0,"Steep, high-vertical off-piste from Schilthorn/Birg (Engetal couloirs, Kanonenrohr, Blumental, Schilthorn north-side itineraries) and the Inferno race heritage, but no FWT/FWQ venue history; touring: Sefinenfurgge, Rottal, Tschingelhorn/Petersgrat and Bluemlisalp-hut classics from Stechelberg/Muerren with Lauterbrunnen-valley guides.",https://schilthorn.ch/en/Infos/Live?c=1,200,"Car-free: road head Stechelberg (Schilthornbahn valley station, direct cable car to Muerren; alternative Lauterbrunnen via BLM cable car + train, both with car parks). 2025/26: weekend-only skiing 1/2, 8/9, 15/16 Nov 2025 (Muerren-Birg cable car, Riggli chair, Engetal pistes), continuous from 22.11.2025 to 26.04.2026. 2026/27 date 07.11.2026 is from skiresort.com (official jungfrau.ch pass validity starts 21.11.2026) - verify with Schilthornbahn. Fixed prices as Jungfrau Ski Region (CHF 79/83 high season 2025/26; pass valid uphill only on Muerren-Schilthorn top section). Schilthorn summit closed during 2025 cable-car rebuild, final new section opened 02.04.2026.",https://www.plattformj.ch/artikel/237299/ | https://schilthorn.ch/cmsfiles/posts/documents/preisliste-jungfrau-ski-region_2025_2026.pdf | https://newsroom.de.schilthorn.ch/ | https://www.skiresort.com/en/ski-resort/schilthorn-muerren-lauterbrunnen/ | https://www.skiresort.com/en/snow-reports/seasonstart/jungfrau-region/ | https://www.jungfrau.ch/de-ch/jungfrau-ski-region/muerren-schilthorn/,medium
197,Meiringen-Hasliberg,,CH,Bern,Meiringen-Hasliberg,Non-glacier,2025-12-20,2026-12-19,"official operating-hours page (2026/27); 2025/26 planned date via skiinfo, actual not verified",2433,60,Meiringen-Hasliberg local day pass,65,65,CHF,estimated_from_2025_26,,46.745,8.19441,3.0,3.0,"Family/intermediate area with only minor off-piste below Glogghues/Planplatten and no freeride event history; local touring is modest (Hasliberg ridges), the Haslital classics (Rosenlaui, Gadmen/Susten) lie outside the resort.",https://en.meiringen-hasliberg.ch/Infos/webcam,200,"Fixed price: adult 1-day CHF 65 (official 2025/26 tariff table still online); Magic Pass member since May 2025. 2026/27: continuous operation Sat 19.12.2026-29.03.2027, weekend operation from November possible snow permitting. Base = Hasliberg Twing/Wasserwendi (Kaeserstatt gondola, company HQ, car park); alternative base Meiringen (aerial cableway to Reuti). Route from Milan via Gotthard-Bruenig or Interlaken; Grimsel and Susten passes closed in winter (not required).",https://en.meiringen-hasliberg.ch/Infos/tarife | https://en.meiringen-hasliberg.ch/Infos/betriebszeiten | https://www.skiresort.com/en/ski-resort/meiringen-hasliberg/ | https://www.bergfex.com/meiringen-hasliberg/ | https://www.skiinfo.de/jungfrauregion/saisoneroeffnung-skigebiete,medium
194,Gstaad,,CH,Bern,"Gstaad Mountain Rides (Saanenland: Rinderberg-Saanersloch-Horneggli, Eggli-La Videmanette, Wispile, Wasserngrat)",Non-glacier,2025-11-28,2026-11-20,2025/26 Gstaad Saanenland Tourismus press release 28.11.2025; 2026/27 skiresort.com season entry,2151,200,Gstaad region total incl. Glacier 3000; 1-day pass excludes Glacier 3000 (31 km),94,94,CHF,published_2026_27,,46.46767,7.28214,3.0,3.5,"Low, gentle terrain (mostly below 2200 m) with limited off-piste (Videmanette, Wasserngrat) and no freeride event history; touring is pleasant but moderate: Wispile, Hornfluh, Lauenen/Wildhorn hut and Gsteig/Sanetsch tours, Glacier 3000 approaches, local guide offices.",https://bergbahnen-gstaad.ch/en/winter/information/webcams,200,"2025/26: first lifts (Saanersloch-Hornberg) opened 28.11.2025, full operation reached by 20.12.2025; Glacier 3000 (Les Diablerets, 3016 m) opened 08.11.2025 but is NOT included in the 1-day Gstaad ticket (included in multi-day tickets, separate day ticket sold). Max elevation 2151 m = La Videmanette (Rougemont), Rinderberg/Saanersloch sector tops at 2011 m. Pricing: from 2026/27 day tickets have fixed seasonal prices (dynamic pricing dropped for day/half-day tickets, kept for multi-day); CHF 94 = skiresort.com main-season 2026/27 figure, official price table only inside the ticketcorner shop (2026/27 group day ticket CHF 76 for 10+ pax) - verify. Magic Pass partner since 2025/26. Base = Gstaad Eggli gondola valley station car park. Route from Milan via Simplon-Montreux-Col des Mosses or Bern-Zweisimmen; no winter pass closure.",https://www.presseportal.ch/de/pm/100097903/100936912 | https://bergbahnen-gstaad.ch/en/winter/tariffs-shop/winter-tariff-overview | https://bow.datacycle.cloud/assets/preisliste-gruppen-en-wi-26-27-1.pdf | https://bergbahnen-gstaad.ch/en/winter | https://www.skiresort.com/en/ski-resort/rinderberg-saanersloch-horneggli-zweisimmen-saanenmoeser-schoenried-st-stephan/ | https://www.skiinfo.de/gstaad-und-umgebung/gstaad/skipaesse,medium
195,Adelboden,,CH,Bern,"Adelboden–Lenk (Chuenisbärgli/Silleren/Hahnenmoos/Metsch; pass incl. Betelberg, Engstligenalp, Elsigen-Metsch, Tschentenalp)",Non-glacier,2025-11-29,2026-11-28,2025/26 Nau.ch 28.11.2025 headline (opening pulled forward to 29/30.11); 2026/27 skiresort.com,2200,86,Adelboden-Lenk linked area (skiresort.com); day ticket also covers 4 further areas,,,CHF,,,46.4879,7.56053,3.0,3.5,"World Cup piste resort, mostly groomed intermediate terrain with modest off-piste (Luegli, Hahnenmoos, Engstligenalp bowls) and no freeride event history; touring is good but local: Engstligenalp is a classic base (Wildstrubel, Ammertenspitz, Lohner), Sillerenbuehl/Hahnenmoos tours, Adelboden mountain-guide school.",https://www.adelboden-lenk.ch/en/Service/Webcams,200,"Dynamic pricing for day tickets since 2023/24 (official FAQ: the earlier you book the cheaper); no public price table for 2025/26 or 2026/27 found (webshop only, summer tariffs displayed in Sept) - price left blank, coordinator should check the webshop (peak window). 2025/26: official operating plan started 06.12.2025 (Sillerenbuehl/Metsch) but press (Nau 28.11.2025) reports an earlier opening for the weekend 29/30.11.2025 - verify exact first day. Day ticket 'Adelboden-Lenk incl. Frutigen' covers Adelboden-Lenk, Betelberg, Engstligenalp (top 2353 m), Elsigen-Metsch and Tschentenalp. AlpsPass season pass CHF 949 (2026/27). Base = Oey (Sillerenbahn valley station, car park). Route from Milan via Simplon-Loetschberg car train (Goppenstein-Kandersteg) or Bern-Frutigen; no pass closures.",https://www.adelboden-lenk.ch/en/Service/Passes/Day-and-multi-day-tickets | https://www.adelboden-lenk.ch/en/Service/Passes | https://www.adelboden-lenk.ch/en/Shop | https://www.skiresort.com/en/ski-resort/adelboden-lenk-chuenisbaergli-silleren-hahnenmoos-metsch/ | https://www.skiresort.com/en/snow-reports/seasonstart/adelboden-frutigen/ | https://www.skiinfo.de/berner-oberland/adelboden/skipaesse | https://news.google.com/rss/search?q=Adelboden-Lenk+Saisonstart+2025,low
196,Lenk,,CH,Bern,Adelboden–Lenk (Metsch/Hahnenmoos side; pass incl. Betelberg),Non-glacier,2025-11-29,2026-11-28,2025/26 Nau.ch 28.11.2025 headline (opening pulled forward to 29/30.11); 2026/27 skiresort.com,2200,86,Adelboden-Lenk linked area (skiresort.com); day ticket also covers Betelberg etc.,,,CHF,,,46.44184,7.45684,3.0,3.5,"Metsch/Hahnenmoos and Betelberg are groomed family terrain with little steep off-piste and no freeride event history; touring from Lenk is a real plus (Iffigenalp-Wildhorn, Wildstrubel/Laemmerenhuette, Betelberg-Rothorn day tours) but with limited variety compared with hubs.",https://www.adelboden-lenk.ch/en/Service/Webcams,200,"Same lift company and dynamic pricing as Adelboden (no public 2025/26 or 2026/27 day-ticket price found - blank, check webshop). Same official 2025/26 plan (06.12.2025) and press-reported earlier weekend opening 29/30.11.2025 (Silleren/Metsch) - verify. Base = Metschbahn valley station Rotenbach (Lenk-Metsch gondola into the linked area, car park); Betelberg is a separate sector at Lenk village on the same pass. Route from Milan via Simplon-Loetschberg car train-Spiez-Zweisimmen or via Bern; no pass closures (Jaunpass open but not needed).",https://www.adelboden-lenk.ch/en/Service/Passes/Day-and-multi-day-tickets | https://www.adelboden-lenk.ch/en/Service/Passes | https://www.skiresort.com/en/ski-resort/adelboden-lenk-chuenisbaergli-silleren-hahnenmoos-metsch/ | https://www.skiresort.com/en/snow-reports/seasonstart/adelboden-frutigen/ | https://www.skiinfo.de/berner-oberland/adelboden/skipaesse,low
198,Engelberg,,CH,Obwalden,Engelberg–Titlis,Glacier + non-glacier,2025-10-11,2026-10-10,2025/26 bergfex season 11.10.2025-03.05.2026 + Obwaldner Zeitung 02.10.2025; 2026/27 skiresort.com,3020,82,Engelberg-Titlis destination pass (bergfex/official 82 km; skiresort.com 70 km Titlis sector),,,CHF,,,46.8162,8.39586,5.0,5.0,"Rubric example for both: Laub, Galtiberg and Steinberg glacier descents with 2000 m vertical, freeride guiding scene (Engelberg Mountain Guide, FWQ history); touring hub with Titlis, Sustenhorn, Jochpass/Engstlen, Spannort and Trift huts and strong guide culture.",https://www.engelberg.ch/en/webcams/,200,"Glacier autumn operation: Titlis glacier skiing opened 11.10.2025 (bergfex season data and regional press announcement; Blick 22.10.2025 lists Titlis among open areas); winter 2026/27 published start 10.10.2026 to 02.05.2027. Dynamic online pricing for the destination ski pass ('book early and reap the rewards'); titlis.ch blocks automated access (HTTP 429) and engelberg.ch only lists sub-area prices (Brunni day ticket CHF 48), so the adult peak day price is left blank - check titlis.ch shop. Titlis Rotair closed for maintenance 03-14.11.2025. Base = Titlis Xpress valley station Engelberg (car park). Route from Milan via Gotthard road tunnel-Stans-Engelberg, no pass closures.",https://www.bergfex.com/engelberg/ | https://www.skiresort.com/en/ski-resort/titlis-engelberg/ | https://www.engelberg.ch/en/cable-cars/prices-winter/ | https://www.engelberg.ch/en/webcams/ | https://news.google.com/rss/search?q=Titlis+Skisaison+startet+11.+Oktober+2025 | https://www.titlis.ch/en/tickets,medium
199,Andermatt,,CH,Uri,SkiArena Andermatt-Sedrun-Disentis (Gemsstock + Naetschen-Oberalp-Sedrun),Non-glacier,,2026-11-14,2026/27 skiresort.com Gemsstock season entry; 2025/26 first day not found,2961,180,SkiArena Andermatt-Sedrun-Disentis pass (resort claim ~180 km; skiresort sectors 31+70+60 km),89,89,CHF,estimated_from_2025_26,,46.63757,8.59375,4.5,5.0,"Rubric example: Gemsstock is a top-tier lift-served freeride mountain (Guspis, Felsental, Giraffe, Sonnenpiste variants) with strong guiding scene and FWQ/Open Faces history; touring hub of the Gotthard/Urseren region (Pizzo Centrale, Piz Badus, Maighels and Vermigel huts, Winterluecke-Realp classics) with deep guide culture.",https://www.andermatt-sedrun-disentis.ch/de/webcam,200,"Dynamic pricing: day-pass prices set daily (weekday, booking date, weather); CHF 89 = skiresort.com main-season adult figure (skiinfo 2024/25 list also 89), official 2025/26 peak range not published as a table - dynamic pricing. 2025/26 Gemsstock first ski day not found (Urner Zeitung reports season-opening event 09.12.2025; regional press indicates Central Swiss resorts started ~22.11.2025) - verify. Oberalp pass closed in winter (Andermatt-Sedrun link by ski/train only, car train not counted); from Milan via Gotthard road tunnel and Schoellenen road (open). Base = Andermatt railway station / Guetsch-Express valley station car parks; Gemsstock cable car 500 m away.",https://www.skiresort.com/en/ski-resort/gemsstock-andermatt/ | https://www.skiresort.com/en/ski-resort/andermatt-oberalp-sedrun/ | https://www.andermatt-sedrun-disentis.ch/en/ | https://www.skiinfo.de/zentralschweiz/andermatt-sedrun/skipaesse | https://news.google.com/rss/search?q=Andermatt+Gemsstock+Saisonstart+2025,low
200,Sedrun,,CH,Graubünden,SkiArena Andermatt-Sedrun-Disentis (Sedrun-Oberalp sector),Non-glacier,,2026-12-12,2026/27 skiresort.com Andermatt/Oberalp/Sedrun season entry; 2025/26 not found,2600,180,"SkiArena pass (~180 km claim); Andermatt-Oberalp-Sedrun sector 70 km, Gemsstock 2961 m on same pass",89,89,CHF,estimated_from_2025_26,,46.66994,8.74283,3.5,4.0,"Sedrun side (Cuolm Val, Schneehueenerstock, Oberalp) offers good but moderate lift-accessed off-piste, the serious freeriding is on Gemsstock at the other end of the pass; touring is strong around the Oberalp pass (Piz Badus, Pazolastock, Maighels hut, Val Maighels/Val Cornera classics) with reliable snow.",https://www.andermatt-sedrun-disentis.ch/de/webcam,200,"Same SkiArena pass and dynamic pricing as Andermatt (CHF 89 skiresort.com main-season figure). 2025/26 first ski day for the Sedrun sector not found - verify. Access from Milan: Oberalp and Lukmanier passes closed in winter - route via San Bernardino-Chur-Reichenau-Ilanz-Disentis-Sedrun; Andermatt-Sedrun Matterhorn Gotthard Bahn car train exists but not counted. Base = Dieni (gondola Dieni-Milez valley station next to Dieni railway station, car park).",https://www.skiresort.com/en/ski-resort/andermatt-oberalp-sedrun/ | https://www.andermatt-sedrun-disentis.ch/en/ | https://www.skiinfo.de/zentralschweiz/andermatt-sedrun/skipaesse,low
