id,resort_name,local_name,country,region,ski_area,type,opening_2025_26_actual,opening_2026_27_published,opening_source_note,max_elevation_m,piste_km,piste_km_basis,ticket_price_min,ticket_price_max,currency,price_status,road_head,base_lat,base_lon,freeride_score_0_5,ski_touring_score_0_5,score_notes,webcam_url,webcam_http_status,comments,sources,confidence
38,Chamonix,,FR,Haute-Savoie,"Chamonix Mont-Blanc (Brévent-Flégère, Grands Montets, Balme, Aiguille du Midi)",Glacier + non-glacier,2025-11-29,2026-11-28,actumontagne 25-Nov-2025 + official Le Pass rate periods; 2026/27 alti-mag provisional list,3842,110,Chamonix Le Pass (official; Grands Montets summit excluded),74,74,EUR,estimated_from_2025_26,,45.91821,6.87018,5.0,5.0,"Former FWT venue; Vallée Blanche, Grands Montets and Brévent couloirs; Haute Route start with Compagnie des Guides/ENSA make it a world touring hub.",https://www.chamonix.com/webcams,200,"Via Mont Blanc tunnel (no extended closure in 2026, only autumn night closures); Col des Montets may close for avalanche risk. Aiguille du Midi 3842 m = lift-served glacier off-piste (Vallée Blanche, Mont Blanc Unlimited pass), cable car closed 2 Nov-18 Dec 2026; marked pistes top out at 2765 m (Bochard) while Grands Montets summit 3275 m stays closed until Dec 2027 (new Argentière-Lognan gondola due summer 2026, Plan Joran gondola reopens 5 Dec 2026). 2025/26 opened 29 Nov (Grands Montets Plan Joran/Bochard/Tabé + Flégère), Brévent and Balme 13 Dec, Les Houches 6 Dec. Dynamic online pricing from 47 EUR off-peak; 74 EUR = peak ticket-office price 20 Dec-27 Mar; Mont Blanc Unlimited 1 day 100 EUR. skiresort.com sums valley areas incl. Les Houches to about 169 km.",https://domaineschamonix.montblancnaturalresort.com/en/ticketing/chamonix-lepass | https://domaineschamonix.montblancnaturalresort.com/en/area/grands-montets | https://www.actumontagne.com/sports/ski/chamonix-les-grands-montets-et-la-flegere-ouvrent-des-ce-samedi-29-novembre/ | https://www.mon-sejour-en-montagne.com/actualites/forfaits-de-ski-a-chamonix-on-connait-deja-les-prix-pour-la-saison-2025-2026/ | https://sallanches.info/actualites/calendrier-ouverture-telepherique-grands-montets-chamonix-2026/ | https://www.chamonix.com/informations-remontees-mecaniques-en-temps-reel | https://www.alti-mag.com/dates-douverture-stations-ski | https://www.skiresort.com/en/ski-resort/aiguille-du-midi-chamonix/ | https://www.skiresort.com/en/ski-resort/grands-montets-argentiere-chamonix/ | https://nosalpes.eu/fr/2026/08/31/cette-annee-aucune-fermeture-prolongee-pour-le-tunnel-du-mont-blanc/,medium
39,Megève,,FR,Haute-Savoie,Evasion Mont-Blanc,Non-glacier,2025-11-29,2026-12-05,official forfait.megeve.com opening page (Cote 2000 pre-opening; general opening 19 Dec 2026),2353,400,Evasion Mont-Blanc pass (official claim; skiresort.com measures 185 km Megève/St-Gervais),65,65,EUR,published_2026_27,,45.85002,6.61477,3.0,3.0,"Mainly groomed-piste resort; limited off-piste at Cote 2000/Mont Joly; modest local touring (Mont Joly, Aiguille Croche).",https://www.megeve-tourisme.fr/en/informations-pratiques/infos-live/webcams/,200,"Base = Rochebrune cable car and car park. Route via Mont Blanc tunnel-Sallanches. 2025/26: exceptional Cote 2000 opening 29-30 Nov 2025 (25 EUR day), Mont d'Arbois 8-12 Dec, general 20 Dec 2025-6 Apr 2026. 2026/27: partial 5-6 Dec (Cote 2000, Mont d'Arbois), general 19 Dec 2026-4 Apr 2027. Price = Evasion Mont-Blanc 1-day haute saison 2026/27 (65 EUR; 12-18 Dec 52 EUR) as published by the Saint-Gervais and Portes du Mont-Blanc lift-co sites; Megève 2025/26 PDF was 63.50. Top 2353 m = Mont Joly (Saint-Gervais sector), Megève's own sectors are lower; bergfex quotes 1113-2350 m and Evasion 445 km.",https://forfait.megeve.com/hiver/en/ski-area-opening-information/ | https://forfait.megeve.com/hiver/wp-content/uploads/sites/7/2025/07/2025-2026-tarifs-Evasion-FR.pdf | https://www.ski-saintgervais.com/fr/tarifs-evasion-mont-blanc | https://www.lesportesdumontblanc.fr/hiver/tarifs-hiver-ski-portes-du-mont-blanc-et-evasion/ | https://www.skiresort.com/en/ski-resort/megeve-saint-gervais/ | https://www.bergfex.com/megeve/ | https://www.alti-mag.com/dates-douverture-stations-ski,medium
40,Saint-Gervais-les-Bains,,FR,Haute-Savoie,Evasion Mont-Blanc,Non-glacier,2025-12-13,2026-12-19,lift-co openings page (13 Dec partial) + SMB listing; 2026/27 alti-mag + tariff periods,2353,400,Evasion Mont-Blanc pass (official claim; skiresort.com 185 km Megève/St-Gervais),65,65,EUR,published_2026_27,,45.8748,6.68587,3.0,3.0,"Mont Joly/Epaule offers some off-piste; touring modest (Mont Joly, Col du Joly); no guide-culture hub.",https://www.saintgervais.com/je-minforme/infos-station/webcams/,200,Base = Le Bettex (1400 m) gondola station and car park (incl. Saint-Nicolas-de-Véroce sector); alternative valley gondola Saint-Gervais-Le Bettex from town. 2025/26 partial 13-19 Dec then general 20 Dec 2025 (year not printed on lift-co page; matches 2025 calendar and SMB listing 13 Dec 2025-6 Apr 2026). 2026/27 Evasion tariff: intermediate period 12-18 Dec 2026 (52 EUR) then haute saison from 19 Dec (65 EUR); alti-mag lists 19 Dec 2026-4 Apr 2027. Les Houches-Saint-Gervais (Prarion/Bellevue) is a separate Chamonix-side area not on this pass.,https://www.ski-saintgervais.com/fr/ouvertures | https://www.ski-saintgervais.com/fr/tarifs-evasion-mont-blanc | https://hautesavoiemontblanc-tourisme.com/en/offers/evasion-mont-blanc-ski-resort-saint-gervais-les-bains-en-5888492/ | https://www.skiresort.com/en/ski-resort/megeve-saint-gervais/ | https://www.alti-mag.com/dates-douverture-stations-ski | https://www.annecy-ville.fr/2025/10/dates-ouverture-fermeture-stations-ski-haute-savoie-savoie-saison-2025-2026/,medium
41,Combloux,,FR,Haute-Savoie,Les Portes du Mont-Blanc / Evasion Mont-Blanc,Non-glacier,2025-12-06,2026-12-19,"PdMB lift-co: weekends 6/7, 13/14 Dec then 20 Dec 2025; 2026/27 official dates page",1930,100,Portes du Mont-Blanc pass (official; skiresort.com 85 km),52.5,52.5,EUR,published_2026_27,,45.89164,6.62208,2.0,2.5,Low gentle family area (Tête du Torraz 1930 m) with little off-piste; only easy touring nearby.,https://www.combloux.com/en/webcams/,200,"Base = Beauregard chairlift/La Cry car park (Route des Brons, lift-co office). Evasion Mont-Blanc pass also sold (65 EUR 2026/27, 400 km). 2025/26 weekend openings 6/7 and 13/14 Dec were planned per lift-co, not separately verified (bergfex lists season from 20 Dec 2025); closed 22 Mar 2026. 2026/27: 19 Dec 2026-21 Mar 2027. La Giettaz and Cordon are on the same pass.",https://www.lesportesdumontblanc.fr/hiver/tarifs-hiver-ski-portes-du-mont-blanc-et-evasion/ | https://www.lesportesdumontblanc.fr/hiver/ | https://www.skiinfo.fr/alpes-du-nord/combloux/station-de-ski | https://www.bergfex.com/combloux/ | https://www.skiresort.com/en/ski-resort/les-portes-du-mont-blanc-combloux-megeve-le-jaillet-la-giettaz/,medium
42,Les Contamines-Montjoie,,FR,Haute-Savoie,Les Contamines-Hauteluce (Evasion Mont-Blanc pass),Non-glacier,2025-12-06,2026-12-05,official news 3-Dec-2025 (pre-opening 6-7 Dec); 2026/27 lift-co tariff page (partial 5 Dec),2487,120,Les Contamines-Hauteluce pass (official),55.8,55.8,EUR,published_2026_27,,45.81229,6.7235,3.5,4.0,"Good lift-served off-piste (Col du Joly, Aiguille Croche, Nant Rouge); strong touring (Dômes de Miage, Tré-la-Tête, Col de la Fenêtre) inside the nature reserve with an active guide office.",https://www.lescontamines.com/hiver/webcams,200,"Base = Télécabine du Lay (main car park); Télécabine de la Gorge is the second base (works summer 2026). 2025/26: partial 6-7 Dec and 13-19 Dec, general 20 Dec 2025-12 Apr 2026. 2026/27: partial 5-6 Dec and 12-18 Dec, general 19 Dec 2026-10 Apr 2027. Elevation: lift-co states 1164-2500 m, bergfex 2487 m, skiresort.com 2437 m. Also on the Evasion Mont-Blanc pass (65 EUR 2026/27). Route via Mont Blanc tunnel-Saint-Gervais.",https://skipass.lescontamines.net/fr/forfait-contamines | https://www.lescontamines.com/hiver/actualites | https://www.bergfex.com/les-contamines-montjoie/ | https://www.skiresort.com/en/ski-resort/les-contamines-hauteluce/ | https://www.alti-mag.com/dates-douverture-stations-ski,high
43,La Clusaz,,FR,Haute-Savoie,La Clusaz–Manigod,Non-glacier,2025-11-29,,bergfex season start 29 Nov 2025 + visiter-laclusaz (Balme pre-opening); 2026/27 date not yet published,2485,125,La Clusaz-Manigod pass (official 125 km),49.9,56.5,EUR,estimated_from_2025_26,,45.90522,6.43226,4.0,4.0,"Balme sector hosted FWQ freeride events; Combe de Borderan/Fernuy off-piste; Aravis touring classics (Pointe Percée, Trou de la Mouche, Combe des Aravis).",https://www.laclusaz.com/webcams/,200,"Base = Bossonnet lift and car park in the village. From Italy via Mont Blanc tunnel-Sallanches-Col des Aravis (normally kept open, may close in heavy snow) or A41 Annecy. Dynamic pricing: Prem's online 29.90-49.90 EUR (49.90 = max, bought 2+ days ahead) vs 56.50 EUR window price (2025/26 tariff still displayed; 2026/27 not yet online). 2025/26 pre-openings 29-30 Nov (Balme) and 6-7 Dec; continuous 13 Dec 2025-26 Apr 2026. Elevation: skiresort.com 2485 m; official/aggregators quote 2500-2600 m. Manigod on same pass.",https://forfait.laclusaz.com/fr/tarifs-forfait-la-clusaz | https://www.bergfex.com/la-clusaz/ | https://www.visiter-laclusaz.com/activite/44-remontees-mecaniques-hiver | https://www.skiinfo.fr/alpes-du-nord/la-clusaz/station-de-ski | https://www.skiresort.com/en/ski-resort/la-clusaz-manigod/ | https://www.laclusaz.com/,medium
44,Le Grand-Bornand,,FR,Haute-Savoie,Le Grand-Bornand,Non-glacier,2025-12-06,2026-12-12,bergfex/alti-mag: weekend 6-7 Dec then 13 Dec 2025; 2026/27 alti-mag provisional (closing matches lift-co page),2100,90,"Le Grand-Bornand pass (official OT 90 km; alti-mag 84, bergfex 86)",52,52,EUR,published_2026_27,,45.97382,6.45508,3.0,3.5,"Lachat/Almet off-piste is limited; good Aravis touring access (Pointe Percée north side, Col des Annes, Pointe d'Almet).",https://www.legrandbornand.com/webcams/,200,"Base = Le Chinaillon (1300 m) ski-village car parks; village gondola (Rosay) lower. Col de la Colombière closed in winter (approach via Thônes/Saint-Jean-de-Sixt). 2025/26 dates (6-7 Dec weekend, continuous 13 Dec 2025-10 Apr 2026) are planned dates from aggregators, not separately verified. 2026/27: 12 Dec 2026-11 Apr 2027; day pass 52 EUR (official 2026/27 tariff).",https://pass.legrandbornand.com/fr/tarifs | https://www.alti-mag.com/domaines-skiables/le-grand-bornand-alpin | https://www.legrandbornand.com/ | https://www.bergfex.com/le-grand-bornand/ | https://www.skiresort.com/en/ski-resort/le-grand-bornand/ | https://www.alti-mag.com/dates-douverture-stations-ski,medium
45,Flaine,,FR,Haute-Savoie,Le Grand Massif,Non-glacier,2025-11-29,2026-12-05,official flaine.com pre-opening page + grand-massif.com; 2026/27 official flaine.com winter openings page,2500,265,Grand Massif pass (official; Flaine-only pass also sold),63,63,EUR,published_2026_27,,46.00413,6.69604,3.5,3.0,"Gers bowl, Désert de Platé and Grandes Platières off-piste are well known; touring mostly Platé plateau/Tête Pelouse day tours.",https://www.flaine.com/en/webcams/,200,"Base = Flaine Forum/Front de Neige car parks (via Cluses, A40; from Italy via Mont Blanc tunnel). 2025/26 pre-opening 29-30 Nov 2025 (Aup de Véran sector), official 6 Dec 2025-19 Apr 2026. 2026/27: 5 Dec 2026-18 Apr 2027 (5-18 Dec subject to snow). Local Flaine-only pass 60.70 EUR (2026/27); Grand Massif 63 EUR (+2 EUR keycard). Top: official 2500 m (Grandes Platières), skiresort.com 2480 m.",https://www.flaine.com/en/winter-openings-27/ | https://www.flaine.com/en/flaine-ski-resort-opening-2025-early-season-deals/ | https://www.grand-massif.com/en/grand-massif-opening/ | https://www.grand-massif.com/en/ski-offers/package-rates/ | https://www.flaine.com/domaine-skiable/ | https://www.skiresort.com/en/ski-resort/le-grand-massif-flaine-les-carroz-morillon-samoens-sixt/,high
46,Les Carroz,Les Carroz d'Arâches,FR,Haute-Savoie,Le Grand Massif,Non-glacier,2025-12-13,2026-12-12,flaine.com news (Les Carroz/Samoëns 13 Dec 2025 planned); 2026/27 official lescarroz.com,2500,265,Grand Massif pass (official; Villages pass also sold),63,63,EUR,published_2026_27,,46.02471,6.64444,3.0,3.0,Tree-lined intermediate area with some off-piste towards Gers/Tête des Saix; modest local touring.,https://www.lescarroz.com/en/webcams/,200,"Base = Kédeuze gondola in the village. 2025/26 planned opening 13 Dec 2025 (Grand Massif general opening) to 12 Apr 2026; actual first day not separately verified. 2026/27: 12 Dec 2026 (official). Villages pass (Carroz/Morillon/Samoëns/Sixt) 58.50 EUR 2026/27, km not published; 2500 m top is in Flaine (Grandes Platières).",https://www.lescarroz.com/en/ | https://www.flaine.com/en/flaine-ski-resort-opening-2025-early-season-deals/ | https://www.grand-massif.com/en/ski-offers/package-rates/ | https://www.annecy-ville.fr/2025/10/dates-ouverture-fermeture-stations-ski-haute-savoie-savoie-saison-2025-2026/ | https://www.skiresort.com/en/ski-resort/le-grand-massif-flaine-les-carroz-morillon-samoens-sixt/,medium
47,Samoëns,,FR,Haute-Savoie,Le Grand Massif,Non-glacier,2025-12-13,2026-12-19,samoens.com (Grand Massif 13 Dec 2025-12 Apr 2026); 2026/27 alti-mag provisional,2500,265,Grand Massif pass (official; Villages pass also sold),63,63,EUR,published_2026_27,,46.066,6.71177,3.0,3.5,"Off-piste towards Gers/Vernant; Haut-Giffre and Sixt-Fer-à-Cheval touring (Criou, Col de Joux Plane) give good local touring.",https://www.samoens.com/en/webcams/,200,"Base = Grand Massif Express gondola at Vercland (700 m), 2 km from the village; Sixt-Fer-à-Cheval is a linked village. Col de Joux Plane (to Morzine) closed in winter. 2026/27: alti-mag lists 19 Dec 2026 but Les Carroz (same lift company) publishes 12 Dec 2026 - double-check. Villages pass 58.50 EUR (2026/27), km not published.",https://www.samoens.com/en/activites-dhiver/alpine-skiing/ | https://www.grand-massif.com/en/ski-offers/package-rates/ | https://www.haut-giffre.fr/je-decouvre/les-domaines-skiables/ | https://www.alti-mag.com/dates-douverture-stations-ski | https://www.skiresort.com/en/ski-resort/le-grand-massif-flaine-les-carroz-morillon-samoens-sixt/,medium
