country,region,weather_url,weather_source,avalanche_url,avalanche_source,notes
AT,Carinthia,https://www.geosphere.at/en/maps/weather-forecast,GeoSphere Austria,https://lawinenwarndienst.ktn.gv.at/,Lawinenwarndienst Kärnten,GeoSphere Austria English 8-day forecast (map/table) with a federal-state drop-down including 'Carinthia' plus Land-level 'Weather forecast' and 'Mountain forec
AT,Carinthia / Salzburg,https://www.geosphere.at/en/maps/weather-forecast,GeoSphere Austria,https://lawine.salzburg.at/en/,Lawinenwarndienst Salzburg,GeoSphere Austria English 8-day forecast (map/table) with federal-state drop-down (Salzburg / Carinthia) and Land-level 'Weather forecast' and 'Mountain forecas
AT,Salzburg,https://www.geosphere.at/en/maps/weather-forecast,GeoSphere Austria,https://lawine.salzburg.at/en/,Lawinenwarndienst Salzburg,GeoSphere Austria English 8-day forecast (map/table) with federal-state drop-down including 'Salzburg' and Land-level 'Weather forecast' and 'Mountain forecast'
AT,Styria,https://www.geosphere.at/en/maps/weather-forecast,GeoSphere Austria,https://lawine-steiermark.at/lagebericht/aktueller-lagebericht-en,Lawinenwarndienst Steiermark,GeoSphere Austria English 8-day forecast (map/table) with federal-state drop-down including 'Styria' and Land-level 'Weather forecast' and 'Mountain forecast' t
AT,Tyrol,https://www.geosphere.at/en/maps/weather-forecast,GeoSphere Austria,https://avalanche.report/bulletin/latest,Euregio avalanche.report,GeoSphere Austria English 8-day forecast (map/table) with federal-state drop-down including 'Tyrol' and Land-level 'Weather forecast' and 'Mountain forecast' te
AT,Vorarlberg,https://www.geosphere.at/en/maps/weather-forecast,GeoSphere Austria,https://warnung.vorarlberg.at/vtgdb/dist/index.html#//lwd_lagebericht_en.html,Lawinenwarndienst Vorarlberg,GeoSphere Austria English 8-day forecast (map/table) with federal-state drop-down including 'Vorarlberg' and Land-level 'Weather forecast' and 'Mountain forecas
AT,*,https://www.geosphere.at/en/maps/weather-forecast,GeoSphere Austria,https://lawinen-warnung.eu/bulletin/latest,lawinen-warnung.eu (Austrian Lawinenwarndienste),"GeoSphere Austria (ex-ZAMG) English 8-day weather forecast page with map/table view and a federal-state drop-down (Austria, Styria, Salzburg, Carinthia, Tyrol, "
CH,Bern,https://www.meteoswiss.admin.ch/local-forecasts/grindelwald/3818.html,MeteoSwiss,https://www.slf.ch/en/avalanche-bulletin-and-snow-situation/,SLF,"MeteoSwiss local forecast page for 3818 Grindelwald (Jungfrau region, Bernese Oberland) with multi-day forecast widget and overview weather maps."
CH,Graubünden,https://www.meteoswiss.admin.ch/local-forecasts/davos-platz/7270.html,MeteoSwiss,https://www.slf.ch/en/avalanche-bulletin-and-snow-situation/,SLF,MeteoSwiss local forecast page for 7270 Davos Platz with multi-day forecast widget and overview weather maps.
CH,Obwalden,https://www.meteoswiss.admin.ch/local-forecasts/engelberg/6390.html,MeteoSwiss,https://www.slf.ch/en/avalanche-bulletin-and-snow-situation/,SLF,MeteoSwiss local forecast page for 6390 Engelberg with multi-day forecast widget and overview weather maps.
CH,St. Gallen,https://www.meteoswiss.admin.ch/local-forecasts/flumserberg-tannenbodenalp/8898.html,MeteoSwiss,https://www.slf.ch/en/avalanche-bulletin-and-snow-situation/,SLF,MeteoSwiss local forecast page for 8898 Flumserberg Tannenbodenalp (the Flumserberg resort base at ~1400 m) with multi-day forecast widget and overview weather 
CH,Uri,https://www.meteoswiss.admin.ch/local-forecasts/andermatt/6490.html,MeteoSwiss,https://www.slf.ch/en/avalanche-bulletin-and-snow-situation/,SLF,MeteoSwiss local forecast page for 6490 Andermatt with multi-day forecast widget and overview weather maps.
