id,resort_name,local_name,country,region,ski_area,type,opening_2025_26_actual,opening_2026_27_published,opening_source_note,max_elevation_m,piste_km,piste_km_basis,ticket_price_min,ticket_price_max,currency,price_status,road_head,base_lat,base_lon,freeride_score_0_5,ski_touring_score_0_5,score_notes,webcam_url,webcam_http_status,comments,sources,confidence
90,Madonna di Campiglio,,IT,"Trento, Trentino-Alto Adige",Skiarea Campiglio Dolomiti di Brenta,Non-glacier,2025-11-22,2026-11-28,"APT/ski.it news: Groste pre-opening 22-23 Nov (announced), official 28 Nov; ski.it 2026/27 sales conditions",2504,155,Skiarea Campiglio Dolomiti di Brenta pass (ski.it 155 km),85,85,EUR,estimated_from_2025_26,,46.22699,10.82702,3.0,3.5,"Off-piste limited to Groste/Spinale bowls and guided Brenta couloirs, no FWT history; Brenta Dolomites give classic but not very varied day tours (Bocca di Brenta, Val d'Agola, Cima Roma).",https://www.campigliodolomiti.it/en/live-info/webcam,200,"Pre-opening 22-23 Nov 2025 at Groste announced by APT but not confirmed post hoc (official opening 28 Nov 2025; Pinzolo and Folgarida-Marilleva sectors 4 Dec); 2025/26 Skiarea 1-day adult EUR 74 low / 85 high (max window price), online prices dynamic (ski.it); 'Numero Ideale' skier cap on peak days; 2026/27 season validity from 28 Nov 2026 per ski.it sales conditions (skiresort lists 21 Nov 2026); no pass on route from Milan (A4/A22 or Val Rendena via Tione).",https://www.campigliodolomiti.it/en/ski-area | https://www.campigliodolomiti.it/en/skiarea/inverno/skipass/skipass-skiarea | https://www.ski.it/en/ | https://www.ski.it/en/skipass/skiarea-campiglio-dolomiti-di-brenta-sales-conditions-winter-2026-2027 | https://www.dovesciare.it/news/2025-11-03/skiarea-madonna-di-campiglio-piu-qualita-pista-con-numero-ideale-e-nuovi-impianti | https://www.obosnowboard.com/apertura-stagione-madonna-di-campiglio-2025-26/ | https://www.skiresort.com/en/ski-resort/madonna-di-campiglio-pinzolo-folgarida-marilleva/,medium
91,Pinzolo,,IT,"Trento, Trentino-Alto Adige",Skiarea Campiglio Dolomiti di Brenta,Non-glacier,2025-12-04,,"campigliodolomiti.it season dates (Pinzolo sector 4 Dec 2025, announced); no 2026/27 sector date",2504,155,Skiarea Campiglio Dolomiti di Brenta pass (linked area); Pinzolo sector tops 2100 m,85,85,EUR,estimated_from_2025_26,,46.16173,10.765,2.5,3.0,"Doss del Sabion is a piste-oriented sector with only tree-run off-piste; touring on the Adamello-Presanella side (Val Genova, Val Nambrone) is decent but less developed than Campiglio's Brenta side.",https://www.campigliodolomiti.it/en/live-info/webcam,200,"Pinzolo sector (Doss del Sabion 2100 m) linked to Campiglio by gondola; Pinzolo-only 1-day pass 2025/26 EUR 59 low / 65 high also sold; Skiarea pass EUR 85 high with dynamic online pricing; skiresort lists Skiarea season from 21 Nov 2026 (Campiglio sector); base = Pinzolo village, Pinzolo-Pra Rodont gondola at south end.",https://www.campigliodolomiti.it/en/ski-area | https://www.campigliodolomiti.it/en/skiarea/inverno/skipass/pinzolo-skipass | https://www.campigliodolomiti.it/en/skiarea/inverno/skipass/skipass-skiarea | https://www.ski.it/en/ | https://www.skiresort.com/en/ski-resort/madonna-di-campiglio-pinzolo-folgarida-marilleva/,medium
92,Folgarida–Marilleva,,IT,"Trento, Trentino-Alto Adige",Skiarea Campiglio Dolomiti di Brenta,Non-glacier,2025-12-04,,"campigliodolomiti.it season dates (Folgarida-Marilleva 4 Dec 2025, announced); no 2026/27 sector date",2504,155,Skiarea Campiglio Dolomiti di Brenta pass (linked area via Monte Vigo),85,85,EUR,estimated_from_2025_26,,46.30307,10.86561,2.5,3.0,"Mostly groomed intermediate terrain with some tree skiing off Monte Vigo; Val di Sole touring (Val Meledrio, Peller, Presanella approaches) is modest in variety.",https://www.ski.it/en/info-live/webcam-and-livecam,200,"Val di Sole bases: Folgarida gondola (used here), Marilleva 1400 (46.30243, 10.81015) and Daolasa/Commezzadura gondola; same Skiarea pass as Campiglio (dynamic online pricing); sector opened 4 Dec 2025 while Campiglio opened 28 Nov; no pass on Milan route (A22 or SS42 Tonale).",https://www.campigliodolomiti.it/en/ski-area | https://www.campigliodolomiti.it/en/skiarea/inverno/skipass/skipass-skiarea | https://www.ski.it/en/ | https://www.visitvaldisole.it/en/campiglio-dolomiti-di-brenta-val-di-sole-val-rendena-ski-area | https://www.skiresort.com/en/ski-resort/madonna-di-campiglio-pinzolo-folgarida-marilleva/,medium
93,Val di Fassa,,IT,"Trento, Trentino-Alto Adige",Dolomiti Superski,Non-glacier,2025-12-04,2026-12-04,DSS press 2 Dec 2025 (Sellaronda valleys 4 Dec); fassa.com skiarea pages 2026/27 dates,2485,104,Val di Fassa-Carezza valley pass; sum of fassa.com skiarea km (31+23+36+14),76,76,EUR,estimated_from_2025_26,,46.47402,11.77447,3.5,4.0,"Sella/Pordoi classics (Val Lasties, Forcella Pordoi, Val Mesdi via Pordoi cable car) and Ciampac/Belvedere off-piste with local guides; dense Gulliver route coverage on Sella, Catinaccio, Marmolada and Monzoni.",https://www.fassa.com/it/meteo-e-webcam/webcam,200,"Valley pass covers Belvedere/Col Rodella, Buffaure/Ciampac, Catinaccio and Carezza only (Alpe Lusia and San Pellegrino are a separate DSS zone); 2025/26 valley 1-day EUR 68 low / 76 high (high 21 Dec-10 Jan, 1 Feb-21 Mar); DSS 2026/27 whole-area price published (EUR 80/89) but valley prices not yet; new 3S Col Rodella opened Christmas 2025; Carezza sector opened 6 Dec 2025; skiresort quotes ~109 km; from Milan via A22 Ora-Val di Fiemme (no pass), Passo Fedaia/Pordoi/Sella subject to winter closures.",https://www.fassa.com/it/piste-e-impianti/skiarea | https://www.fassa.com/it/cosa-fare/sci-alpino/skipass/prezzi-skipass-dolomiti-superski | https://www.dolomitireview.com/dolomiti-superski-ecco-quanto-costano-gli-skipass-di-valle-a-inizio-stagione-e-durante-le-feste-natalizie-2025-26-san-martino-di-castrozza-rio-pusteria-e-ski-civetta-le-localita-piu-convenienti/ | https://www.dolomitireview.com/dolomiti-superski-2025-26-un-avvio-di-stagione-favorito-dal-meteo-e-dagli-investimenti/ | https://www.skimania.it/dolomiti-superski-quanto-costera-sciare-nel-2026-27-i-nuovi-prezzi-dello-skipass-giornaliero/ | https://www.skiresort.com/en/ski-resort/belvedere-col-rodella-ciampac-buffaure-canazei-campitello-alba-pozza-di-fassa/,medium
94,Alpe Lusia–San Pellegrino,,IT,"Trento, Trentino-Alto Adige / Belluno, Veneto",Dolomiti Superski (Tre Valli),Non-glacier,2025-11-29,,"APT press 25 Nov 2025: San Pellegrino opened 29 Nov (announced), Alpe Lusia 5 Dec; no resort-specific 2026/27 date",2513,100,"Alpe Lusia-San Pellegrino valley pass (skiareasanpellegrino.it: 100 km, 23 lifts)",71,71,EUR,estimated_from_2025_26,,46.36821,11.68775,3.0,3.5,"Col Margherita (2513 m) has a marked freeride zone and off-piste towards Fuciade; Costabella, Monzoni, Bocche and Lagorai give good documented day tours but the area is small.",https://www.skiareasanpellegrino.it/info-contatti/webcam/,200,"Two unlinked sectors: Alpe Lusia (Ronchi/Moena and Bellamonte; base used here) and San Pellegrino-Falcade (pass at 46.36726, 11.80237), joined by free Tre Valli shuttle 20 Dec-15 Mar; Alpe Lusia is also included in the Fiemme-Obereggen valley pass; 2025/26 valley 1-day EUR 64 low / 71 high; fassa.com lists both skiareas 'open 4 Dec 2026-4 Apr 2027' (generic note) and skiresort lists 28 Nov 2026; Passo San Pellegrino road open in winter; the 29 Nov 2025 opening is the announced date, not confirmed post hoc.",https://www.skiareasanpellegrino.it/ | https://www.lavisioblog.it/al-via-la-stagione-invernale-il-29-novembre-2025/ | https://moveo.telepass.com/alpe-lusia-skipass-prezzi-giornaliero-stagionale/ | https://www.dolomitireview.com/dolomiti-superski-ecco-quanto-costano-gli-skipass-di-valle-a-inizio-stagione-e-durante-le-feste-natalizie-2025-26-san-martino-di-castrozza-rio-pusteria-e-ski-civetta-le-localita-piu-convenienti/ | https://www.schneehoehen.de/artikel/erfolgreicher-saisonstart-dolomiti-superski | https://www.fassa.com/it/piste-e-impianti/skiarea | https://www.skiresort.com/en/ski-resort/passo-san-pellegrino-falcade/,medium
95,Val di Fiemme–Obereggen,,IT,"Trento, Trentino-Alto Adige / Bolzano",Dolomiti Superski,Non-glacier,2025-11-28,2026-11-27,"Obereggen opened Fri 28 Nov 2025 (press, confirmed operating 2 Dec); obereggen.com 2026/27 dates",2388,110,"Val di Fiemme-Obereggen valley pass (visitfiemme.it 'over 110 km', 50 lifts)",71,71,EUR,estimated_from_2025_26,,46.29119,11.46047,2.5,3.5,"Piste-focused family sectors (Cermis, Latemar) with only modest off-piste at Pampeago/Cermis; Lagorai and Latemar have many documented ski tours and an active local touring scene but no high-alpine classics.",https://www.visitfiemme.it/en/area/webcam,200,"Valley pass covers Alpe Cermis (Cavalese, base used here), Latemar Dolomites (Obereggen-Pampeago-Predazzo, top ~2388 m), Bellamonte-Alpe Lusia, Passo Rolle and Oclini; sectors linked only by skibus except Latemar; 2026/27: first lifts Obereggen 27 Nov 2026, Fiemme link 28 Nov, season to 4 Apr 2027; night skiing Obereggen Tue/Fri; 2025/26 valley 1-day EUR 64 low / 71 high; alternative base Obereggen 46.38500, 11.52597.",https://obereggen.com/en | https://www.visitfiemme.it/en/activities/skiing | https://www.sciaremag.it/turismo/val-di-fiemme-obereggen-tante-novita-per-la-stagione-invernale-2025-26/ | https://www.schneehoehen.de/artikel/erfolgreicher-saisonstart-dolomiti-superski | https://www.dolomitireview.com/dolomiti-superski-ecco-quanto-costano-gli-skipass-di-valle-a-inizio-stagione-e-durante-le-feste-natalizie-2025-26-san-martino-di-castrozza-rio-pusteria-e-ski-civetta-le-localita-piu-convenienti/ | https://www.suedtirol.com/skiurlaub-suedtirol/skifahren/oeffnungszeiten-skigebiete | https://www.skiresort.com/en/ski-resort/latemar-obereggen-pampeago-predazzo/,medium
96,San Martino di Castrozza–Passo Rolle,,IT,"Trento, Trentino-Alto Adige",Dolomiti Superski,Non-glacier,2025-11-29,,"APT news 25 Nov 2025: pre-opening weekend 29-30 Nov (Colbricon Express), full opening 4 Dec; 2026/27 not published",2357,60,San Martino di Castrozza-Passo Rolle valley pass (sanmartino.com 60 km),70,70,EUR,estimated_from_2025_26,,46.25499,11.79934,3.0,4.0,"Tognola/Colverde off-piste, Rosetta cable-car descents and Passo Rolle freeride; Pale di San Martino and Lagorai are among Trentino's best-documented touring grounds (Passo Rolle classics, Val Venegia) with an active guide office.",https://www.sanmartino.com/en/lifts-and-slopes-live-info/webcams,200,"Official 2025/26 price list: 1-day adult EUR 63 (29 Nov-20 Dec, 11-31 Jan, from 15 Mar) / 70 (21 Dec-10 Jan, 1 Feb-14 Mar); pre-opening weekend ticket EUR 31.50; two sectors (San Martino, Passo Rolle) linked by skibus, lift link planned; skiresort lists 2026/27 season 28 Nov 2026-11 Apr 2027 (unverified); base = Tognola gondola car park; Passo Rolle open in winter (chains may be required).",https://www.sanmartino.com/en | https://www.sanmartino.com/sanmartino/documenti-files/prezzi-skipass-e-card-skibus/prezzi-skipass-san-martino-p-rolle-2025-26.pdf | https://www.neveitalia.it/ski/sanmartinodicastrozza/news/il-29-e-30-novembre-pre-apertura-a-san-martino-di-castrozza | https://www.schneehoehen.de/artikel/erfolgreicher-saisonstart-dolomiti-superski | https://www.dolomitireview.com/dolomiti-superski-ecco-quanto-costano-gli-skipass-di-valle-a-inizio-stagione-e-durante-le-feste-natalizie-2025-26-san-martino-di-castrozza-rio-pusteria-e-ski-civetta-le-localita-piu-convenienti/ | https://www.skiresort.com/en/ski-resort/san-martino-di-castrozza/,medium
97,Folgaria–Lavarone,,IT,"Trento, Trentino-Alto Adige",Alpe Cimbra,Non-glacier,2025-11-28,,"neveitalia/Alpe Cimbra 2025/26 list (28 Nov 2025, announced); 2026/27 list says only 'from opening'",1824,74,Skiarea Alpe Cimbra pass (skiresort Folgaria/Fiorentini 74 km; official total not found),60,63,EUR,published_2026_27,,45.91703,11.16725,1.5,2.0,Low-altitude family plateau with fully snowmade groomed pistes and almost no off-piste; ski touring limited to gentle Cimbra plateau routes.,https://www.alpecimbra.it/en/homepage/webcam/9-0.html,200,"2026/27 price list published: 1-day adult EUR 63 window / 60 online on Saturdays, Sundays, holidays, 19 Dec 2026-6 Jan 2027 and 7-13 Feb 2027; weekdays EUR 57 / 53; Lavarone sector not lift-linked to Folgaria-Fiorentini (skibus); altitude 1177-1824 m; base = Folgaria village (lifts at Francolini/Fondo Grande ~3 km); skiresort lists 2026/27 season from 28 Nov 2026 (unverified); no pass on Milan route (A4/A22 Rovereto).",https://www.alpecimbra.it/files/content/99531_12053_2_0/official-skipass-pricelist-skiarea-alpe-cimbra-folgaria-lavarone-25.26.pdf | https://www.alpecimbra.it/en/alpe-cimbra-ski-area/alpe-cimbra-ski-area/skipass-skiarea-alpe-cimbra/126-687.html | https://www.neveitalia.it/ski/folgarialavarone/skipass | https://www.skiresort.com/en/ski-resort/folgaria-fiorentini/,medium
98,Pejo,,IT,"Trento, Trentino-Alto Adige",Pejo 3000 (Val di Sole),Non-glacier,2025-12-06,,"Pejo Funivie 2025/26 list via Moveo (6 Dec 2025, announced); 2026/27 list says 'from opening'",3000,20,Skipass Pejo (all Pejo Funivie lifts; skiresort 20 km),54,60,EUR,published_2026_27,,46.36304,10.66133,3.0,3.5,"Pejo 3000 cable car opens steep off-piste on the Cima Vioz flank and Val de la Mare; gateway to Ortles-Cevedale classics (Vioz, Cevedale, Palon de la Mare, Rif. Larcher) though the lift network is tiny.",https://www.skipejo.it/en/webcam/,200,"2026/27 price list published: 1-day adult EUR 60 Christmas-New Year (20 Dec 2026-6 Jan 2027), 54 high season (7 Jan-14 Mar 2027), 49 low; 2025/26 was 58/52/48; 7 lifts in Stelvio National Park; Combi and Skiarea Campiglio passes also sold; skiresort lists 2026/27 season 3 Dec 2026-11 Apr 2027 (unverified); base = Pejo Fonti gondola; from Milan via SS42 Passo del Tonale (open in winter) or A22-Val di Sole.",https://www.skipejo.it/wp-content/uploads/2026/06/PF-Price-List-Winter-2026-2027.pdf | https://www.visitvaldipejo.it/asset_pejo/PDF/PF%20-%20Listino%20prezzi%20Inverno%202025-2026.pdf | https://moveo.telepass.com/pejo-i-prezzi-dello-skipass-per-la-nuova-stagione/ | https://www.skiresort.com/en/ski-resort/pejo-3000/,medium
99,Val Gardena,Gröden,IT,"Bolzano, Trentino-Alto Adige",Dolomiti Superski,Non-glacier,2025-12-04,2026-12-04,suedtirol.com + DSS press (4 Dec 2025); valgardena.it 2026/27 season dates,2518,175,"Val Gardena-Alpe di Siusi valley pass (val-gardena.com 175 km, 79 lifts)",80,80,EUR,estimated_from_2025_26,,46.55519,11.7601,3.5,4.0,"Seceda, Dantercepies and Ciampinoi off-piste plus Val Mesdi/Val Lasties via Pordoi; Puez-Odle and Sella groups offer many documented Dolomites day tours with strong guide offices in Selva/Ortisei; no FWT history.",https://www.valgardena.it/en/webcams/,200,"2025/26 valley 1-day adult EUR 72 low / 80 high (official); DSS 2026/27 whole-area price published (EUR 80/89), valley prices pending; 2026/27 lifts and Sellaronda open 4 Dec 2026-4 Apr 2027; base = Selva (Ciampinoi/Dantercepies), alternative Ortisei; from Milan via A22 Chiusa (no pass), Passo Sella/Gardena may close in heavy snow.",https://www.valgardena.it/de/winterurlaub-dolomiten/skigebiet-groeden/ | https://www.val-gardena.com/en/winter/ski-resort-val-gardena/ski-pass/ | https://www.suedtirol.com/skiurlaub-suedtirol/skifahren/oeffnungszeiten-skigebiete | https://www.schneehoehen.de/artikel/erfolgreicher-saisonstart-dolomiti-superski | https://www.skimania.it/dolomiti-superski-quanto-costera-sciare-nel-2026-27-i-nuovi-prezzi-dello-skipass-giornaliero/ | https://www.skiresort.com/en/ski-resort/val-gardena-groeden/,medium
